form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00002972,500015391,,,ORG,Arkansas' Electric Cooperatives PAC,,,,,,PO Box 194208,,Little Rock,AR,722194208,,,2023-04-11,15411.09,0.00,,008,,,,,,,,,,,,,,,,,,,
SB29,C00002972,500015393,,,ORG,Colorado Advocates For Rural Electrification,,,,,,5400 Washington St,,Denver,CO,802161731,,,2023-04-11,1824.89,0.00,,008,,,,,,,,,,,,,,,,,,,
SB29,C00002972,500015419,,,ORG,COmmunity-Owned Power PAC (CO-OP PAC),,,,,,4201 Dominion Blvd,Ste 101,Glen Allen,VA,230606743,,,2023-04-11,11451.79,0.00,,008,,,,,,,,,,,,,,,,,,,
SB29,C00002972,500015394,,,ORG,"Delaware Electric Co-Op, Inc. ACRE",,,,,,PO Box 600,,Greenwood,DE,199500600,,,2023-04-11,817.81,0.00,,008,,,,,,,,,,,,,,,,,,,
SB29,C00002972,500015416,,,ORG,Electric Co-Op Help Organization,,,,,,808 Knox Abbott Dr,,Cayce,SC,290333318,,,2023-04-11,944.11,0.00,,008,,,,,,,,,,,,,,,,,,,
SB29,C00002972,500015395,,,ORG,Florida Acre,,,,,,2916 Apalachee Pkwy,,Tallahassee,FL,323013731,,,2023-04-11,9985.03,0.00,,008,,,,,,,,,,,,,,,,,,,
SB29,C00002972,500015396,,,ORG,Georgia Emc Pac,,,,,,PO Box 1707,,Tucker,GA,300851707,,,2023-04-18,11547.49,0.00,,008,,,,,,,,,,,,,,,,,,,
SB29,C00002972,500015398,,,ORG,Illinois Acre,,,,,,PO Box 3787,,Springfield,IL,627083787,,,2023-04-11,4782.77,0.00,,008,,,,,,,,,,,,,,,,,,,
SB29,C00002972,500015397,,,ORG,Iowa Association Of Rural Electric Cooperatives Acre,,,,,,8525 Douglas Ave,Ste 48,Des Moines,IA,503222925,,,2023-04-11,4956.35,0.00,,008,,,,,,,,,,,,,,,,,,,
SB29,C00002972,500015404,,,ORG,Michigan Acre,,,,,,2859 Jolly Rd,,Okemos,MI,488643547,,,2023-04-11,5042.06,0.00,,008,,,,,,,,,,,,,,,,,,,
SB29,C00002972,500015409,,,ORG,Nebraska Acre,,,,,,PO Box 82048,,Lincoln,NE,685012048,,,2023-04-11,245.00,0.00,,,,,,,,,,,,,,,,,,,,,
SB29,C00002972,500015411,,,ORG,"New York Acre, Inc.",,,,,,PO Box 126,,Hartwick,NY,133480126,,,2023-04-11,214.61,0.00,,008,,,,,,,,,,,,,,,,,,,
SB29,C00002972,500015408,,,ORG,North Dakota Repac,,,,,,PO Box 727,,Mandan,ND,585540727,,,2023-04-11,1395.68,0.00,,008,,,,,,,,,,,,,,,,,,,
SB29,C00002972,500015414,,,ORG,Oregon Acre,,,,,,8565 SW Salish Ln,Ste 130,Wilsonville,OR,970709674,,,2023-04-11,134.75,0.00,,008,,,,,,,,,,,,,,,,,,,
SB29,C00002972,500015415,,,ORG,Pennsylvania Rural Electric Assn.,,,,,,PO Box 1266,,Harrisburg,PA,171081266,,,2023-04-11,12397.00,0.00,,,,,,,,,,,,,,,,,,,,,
SB29,C00002972,500015392,,,ORG,Political Action Committee,,,,,,2210 S Priest Dr,,Tempe,AZ,852821109,,,2023-04-11,3398.24,0.00,,008,,,,,,,,,,,,,,,,,,,
SB29,C00002972,500015403,,,ORG,SMECO Choptank Electric Cooperative PAC,,,,,,PO Box 1937,,Hughesville,MD,206371937,,,2023-04-11,790.12,0.00,,008,,,,,,,,,,,,,,,,,,,
SB29,C00002972,500015417,,,ORG,South Dakota Acre,,,,,,PO Box 1138,,Pierre,SD,575011138,,,2023-04-11,251.05,0.00,,008,,,,,,,,,,,,,,,,,,,
SB29,C00002972,500015418,,,ORG,Tennessee Acre,,,,,,PO Box 100912,,Nashville,TN,372240912,,,2023-04-11,11137.10,0.00,,008,,,,,,,,,,,,,,,,,,,
SB29,C00002972,500015420,,,ORG,Washington Electric Cooperatives Pac,,,,,,PO Box 7219,,Olympia,WA,985077219,,,2023-04-11,916.89,0.00,,008,,,,,,,,,,,,,,,,,,,
SB29,C00002972,500015421,,,ORG,Wisconsin ACRE,,,,,,131 W Wilson St,Ste 400,Madison,WI,537033269,,,2023-04-11,1075.56,0.00,,008,,,,,,,,,,,,,,,,,,,
