form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00625566,SB21B.13406,,,ORG,Crystal Gardens,,,,,,2775 Iris Ave,,Boulder,CO,80304,,,2023-02-28,600.00,,PAC Storage Rent,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13407,,,ORG,Crystal Gardens,,,,,,2775 Iris Ave,,Boulder,CO,80304,,,2023-03-28,600.00,,PAC Storage Rent,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13408,,,ORG,Crystal Gardens,,,,,,2775 Iris Ave,,Boulder,CO,80304,,,2023-04-27,600.00,,PAC Storage Rent,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13409,,,ORG,Crystal Gardens,,,,,,2775 Iris Ave,,Boulder,CO,80304,,,2023-06-27,600.00,,PAC Storage Rent,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13410,,,ORG,Delta Airlines,,,,,,1030 Delta Blvd,,Atlanta,GA,30354,,,2023-01-03,208.60,,Staff Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13411,,,ORG,Delta Airlines,,,,,,1030 Delta Blvd,,Atlanta,GA,30354,,,2023-01-31,352.90,,Staff Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13412,,,ORG,Delta Airlines,,,,,,1030 Delta Blvd,,Atlanta,GA,30354,,,2023-02-21,581.80,,Staff Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13413,,,ORG,Delta Airlines,,,,,,1030 Delta Blvd,,Atlanta,GA,30354,,,2023-03-08,681.80,,Staff Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13414,,,ORG,Delta Airlines,,,,,,1030 Delta Blvd,,Atlanta,GA,30354,,,2023-05-04,367.90,,Staff Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13415,,,ORG,Delta Airlines,,,,,,1030 Delta Blvd,,Atlanta,GA,30354,,,2023-06-30,373.20,,Staff Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13565,,,ORG,Google,,,,,,1600 Amphitheatre Parkway,,Mountain View,CA,94043,,,2023-03-31,81.92,,App Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13566,,,ORG,Google,,,,,,1600 Amphitheatre Parkway,,Mountain View,CA,94043,,,2023-04-30,81.92,,App Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13567,,,ORG,Google,,,,,,1600 Amphitheatre Parkway,,Mountain View,CA,94043,,,2023-05-31,81.92,,App Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13568,,,ORG,Google,,,,,,1600 Amphitheatre Parkway,,Mountain View,CA,94043,,,2023-06-30,89.34,,App Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13421,,,ORG,Grasshopper,,,,,,105 Old US Hwy 81,,Moundridge,KS,67107,,,2023-03-27,69.86,,Telecom Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13422,,,ORG,Grasshopper,,,,,,105 Old US Hwy 81,,Moundridge,KS,67107,,,2023-04-13,68.94,,Telecom Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13423,,,ORG,Grasshopper,,,,,,105 Old US Hwy 81,,Moundridge,KS,67107,,,2023-05-15,68.41,,Telecom Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13424,,,ORG,Grasshopper,,,,,,105 Old US Hwy 81,,Moundridge,KS,67107,,,2023-06-13,68.41,,Telecom Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13429,,,ORG,Green Ride,,,,,,4800 Baseline Rd,,Boulder,CO,80303,,,2023-04-05,45.00,,Staff Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13430,,,ORG,Green Ride,,,,,,4800 Baseline Rd,,Boulder,CO,80303,,,2023-04-19,45.00,,Staff Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13431,,,ORG,Green Ride,,,,,,4800 Baseline Rd,,Boulder,CO,80303,,,2023-04-20,6.00,,Staff Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13432,,,ORG,Green Ride,,,,,,4800 Baseline Rd,,Boulder,CO,80303,,,2023-05-03,45.00,,Staff Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13433,,,ORG,Green Ride,,,,,,4800 Baseline Rd,,Boulder,CO,80303,,,2023-06-20,40.00,,Staff Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13571,,,ORG,iPostal1,,,,,,400 Rella Blvd,Ste 123,Montebello,NY,10901,,,2023-03-31,80.98,,Shipping and Postage,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13572,,,ORG,iPostal1,,,,,,400 Rella Blvd,Ste 123,Montebello,NY,10901,,,2023-04-30,11.00,,Shipping and Postage,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13573,,,ORG,iPostal1,,,,,,400 Rella Blvd,Ste 123,Montebello,NY,10901,,,2023-05-31,41.99,,Shipping and Postage,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13574,,,ORG,iPostal1,,,,,,400 Rella Blvd,Ste 123,Montebello,NY,10901,,,2023-06-30,80.98,,Shipping and Postage,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13575,,,ORG,Kindful,,,,,,12 Cadillac Dr Ste 480,,Brentwood,TN,37027,,,2023-01-31,331.70,,Merchant Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13576,,,ORG,Kindful,,,,,,12 Cadillac Dr Ste 480,,Brentwood,TN,37027,,,2023-02-28,482.21,,Merchant Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13577,,,ORG,Kindful,,,,,,12 Cadillac Dr Ste 480,,Brentwood,TN,37027,,,2023-04-30,663.40,,Merchant Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13578,,,ORG,Kindful,,,,,,12 Cadillac Dr Ste 480,,Brentwood,TN,37027,,,2023-05-31,431.41,,Merchant Fee,,,,,,,,,,,,,,,,,,,,
