form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB22,C00744946,500194722,,,PTY,Arizona Democratic Party,,,,,,PO Box 36123,,Phoenix,AZ,850676123,,,2024-04-11,73000.00,0.00,Transfer,008,C00166710,,,,,,,,,,,,,,,,,,
SB22,C00744946,500194728,,,PTY,Democratic Party Of Wisconsin Federal,,,,,,15 N Pinckney St,Ste 200,Madison,WI,537032833,,,2024-04-11,170000.00,0.00,Transfer,008,C00019331,,,,,,,,,,,,,,,,,,
SB22,C00744946,500194723,,,PTY,Georgia Federal Elections Committee,,,,,,PO Box 89202,,Atlanta,GA,303120202,,,2024-04-11,12000.00,0.00,Transfer,008,C00041269,,,,,,,,,,,,,,,,,,
SB22,C00744946,500194724,,,PTY,Michigan Demcratic State Central Committee,,,,,,606 Townsend St,,Lansing,MI,489332313,,,2024-04-11,90000.00,0.00,Transfer,008,C00031054,,,,,,,,,,,,,,,,,,
SB22,C00744946,500194725,,,PTY,Nevada State Democratic Party,,,,,,2310 Paseo Del Prado,Ste A120,Las Vegas,NV,891020045,,,2024-04-11,71000.00,0.00,Transfer,008,C00208991,,,,,,,,,,,,,,,,,,
SB22,C00744946,500194726,,,PTY,North Carolina Democratic Party - Federal,,,,,,PO Box 1926,,Raleigh,NC,276021926,,,2024-04-11,89000.00,0.00,Transfer,008,C00165688,,,,,,,,,,,,,,,,,,
SB22,C00744946,500194727,,,PTY,Pennsylvania Democratic Party,,,,,,229 State St,,Harrisburg,PA,171011110,,,2024-04-11,117000.00,0.00,Transfer,008,C00167130,,,,,,,,,,,,,,,,,,
SB22,C00744946,500194729,,,PTY,Arizona Democratic Party,,,,,,PO Box 36123,,Phoenix,AZ,850676123,,,2024-04-25,136500.00,0.00,Transfer,008,C00166710,,,,,,,,,,,,,,,,,,
SB22,C00744946,500194735,,,PTY,Democratic Party Of Wisconsin Federal,,,,,,15 N Pinckney St,Ste 200,Madison,WI,537032833,,,2024-04-25,184500.00,0.00,Transfer,008,C00019331,,,,,,,,,,,,,,,,,,
SB22,C00744946,500194730,,,PTY,Georgia Federal Elections Committee,,,,,,PO Box 89202,,Atlanta,GA,303120202,,,2024-04-25,47500.00,0.00,Transfer,008,C00041269,,,,,,,,,,,,,,,,,,
