form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00779595,SB29001,,,ORG,Republican Party of Virginia,,,,,,115 E. Grace Street,,Richmond,VA,23219,,,2023-07-07,250000.00,,Non-federal Contribution,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29002,,,ORG,Ascent Media LLC,,,,,,7600 E. Eastman Avenue,Suite 405,Denver,CO,80231,,,2023-07-12,360.00,,Non-federal Photography; In-kinded to House Republican Campaign Cmte,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29005,,,ORG,Fulcrum Research LLC,,,,,,611 Commerce  Street,Suite 2704,Nashville,TN,37203,,,2023-07-21,16250.00,,Non-federal Research; In-kinded to House Republican Campaign Cmte,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29006,,,ORG,Fulcrum Research LLC,,,,,,611 Commerce  Street,Suite 2704,Nashville,TN,37203,,,2023-07-21,9750.00,,Non-federal Research; In-kinded to Virginia Senate Republican Caucus,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29007,,,ORG,Stack Adapt Inc.,,,,,,100 University Ave. Floor 5,,Toronto,,M5J1V,,,2023-07-21,164000.00,,Non-federal Digital Advertising; In-kinded to Virginia Senate Republican Caucus,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29008,,,ORG,Ascent Media LLC,,,,,,7600 E. Eastman Avenue,Suite 405,Denver,CO,80231,,,2023-07-24,54610.00,,Non-federal Digital Advertising; In-kinded to House Republican Campaign Cmte,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29009,,,ORG,Winning Republican Strategies,,,,,,P.O. Box 155,,Ruckersville,VA,22968,,,2023-07-24,55000.00,,Non-federal Digital Advertising; In-kinded to Virginia Senate Republican Caucus,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29010,,,ORG,America Rising Corp.,,,,,,1500 Wilson Blvd,5th Floor,Arlington,VA,22209,,,2023-07-31,1750.00,,Non-federal Research; In-kinded to House Republican Campaign Cmte,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29011,,,ORG,America Rising Corp.,,,,,,1500 Wilson Blvd,5th Floor,Arlington,VA,22209,,,2023-07-31,1750.00,,Non-federal Research; In-kinded to Virginia Senate Republican Caucus,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29012,,,ORG,America Rising Corp.,,,,,,1500 Wilson Blvd,5th Floor,Arlington,VA,22209,,,2023-07-31,1750.00,,Non-federal Research; In-kinded to Spirit of Virginia,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29013,,,ORG,House Republican Campaign Committee,,,,,,P.O. Box 71596,,Richmond,VA,23255,,,2023-08-07,98000.00,,Non-federal Contribution,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29014,,,ORG,Ascent Media LLC,,,,,,7600 E. Eastman Avenue,Suite 405,Denver,CO,80231,,,2023-08-10,276000.00,,Non-federal Digital Advertising; In-kinded to Virginia Senate Republican Caucus,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29015,,,ORG,Ascent Media LLC,,,,,,7600 E. Eastman Avenue,Suite 405,Denver,CO,80231,,,2023-08-10,9000.00,,Non-federal Digital Advertising; In-kinded to Virginia Senate Republican Caucus,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29017,,,ORG,Republican Party of Virginia,,,,,,115 E. Grace Street,,Richmond,VA,23219,,,2023-08-11,250000.00,,Non-federal Contribution,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29018,,,ORG,"People Who Think, LLC",,,,,,"4250 Highway 22, Suite 7",,Manderville,LA,70471,,,2023-08-16,49952.00,,Non-federal TV Advertising Production/Placement,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29019,,,ORG,Fulcrum Research LLC,,,,,,611 Commerce  Street,Suite 2704,Nashville,TN,37203,,,2023-08-18,8125.00,,Non-federal Research; In-kinded to Spirit of Virginia,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29020,,,ORG,Fulcrum Research LLC,,,,,,611 Commerce  Street,Suite 2704,Nashville,TN,37203,,,2023-08-18,8125.00,,Non-federal Research; In-kinded to House Republican Campaign Cmte,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29021,,,ORG,Fulcrum Research LLC,,,,,,611 Commerce  Street,Suite 2704,Nashville,TN,37203,,,2023-08-18,9750.00,,Non-federal Research; In-kinded to Virginia Senate Republican Caucus,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29022,,,ORG,Spirit of Virginia,,,,,,P.O. Box 3950,,Merrifield,VA,22116,,,2023-08-25,300000.00,,Non-federal Contribution,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29023,,,ORG,Holmes Street Consulting,,,,,,228 Jackman Street,,Janesville,WI,53545,,,2023-08-28,1666.67,,Non-federal Research; In-kinded to Virginia Senate Republican Caucus,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29024,,,ORG,Holmes Street Consulting,,,,,,228 Jackman Street,,Janesville,WI,53545,,,2023-08-28,1666.67,,Non-federal Research; In-kinded to Spirit of Virginia,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29025,,,ORG,Holmes Street Consulting,,,,,,228 Jackman Street,,Janesville,WI,53545,,,2023-08-28,1666.66,,Non-federal Research,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29026,,,ORG,Virginia Federation for Children PAC,,,,,,228 S. Washington St.,Ste. 115,Alexandria,VA,22314,,,2023-08-28,28033.37,,Non-federal In-kind contribution of Research,,,,,,,,,,,,,  ,,,,,,X,
SB29,C00779595,SB29027,,,ORG,House Republican Campaign Committee,,,,,,P.O. Box 71596,,Richmond,VA,23255,,,2023-08-29,75000.00,,Non-federal Contribution,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29028,,,ORG,Dillender for Delegate,,,,,,P.O. Box 6096,,Suffolk,VA,23433,,,2023-08-30,25000.00,,Non-federal Contribution,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29029,,,ORG,Friends of A.C. Cordoza,,,,,,102 Pratt Street,,Hampton,VA,23651,,,2023-08-30,30000.00,,Non-federal Contribution,,,,,,,,,,,,,  ,,,,,,,
