form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00867937,SB21B.1023829,,,ORG,"ACE SPECIALTIES, LLC",,,,,,PO BOX 80427,,LAFAYETTE,LA,70598,,,2024-10-02,2502.40,,COLLATERAL: MERCHANDISE & EVENT SIGNS
SB21B,C00867937,SB21B.1025472,,,ORG,"ACE SPECIALTIES, LLC",,,,,,PO BOX 80427,,LAFAYETTE,LA,70598,,,2024-10-03,9721.15,,COLLATERAL: MERCHANDISE & EVENT SIGNS
SB21B,C00867937,SB21B.1026206,,,ORG,"ACE SPECIALTIES, LLC",,,,,,PO BOX 80427,,LAFAYETTE,LA,70598,,,2024-10-04,11550.73,,COLLATERAL: MERCHANDISE & EVENT SIGNS
SB21B,C00867937,SB21B.1028077,,,ORG,"ACE SPECIALTIES, LLC",,,,,,PO BOX 80427,,LAFAYETTE,LA,70598,,,2024-10-09,13360.50,,COLLATERAL: MERCHANDISE & EVENT SIGNS
SB21B,C00867937,SB21B.1028775,,,ORG,"ACE SPECIALTIES, LLC",,,,,,PO BOX 80427,,LAFAYETTE,LA,70598,,,2024-10-11,48504.83,,COLLATERAL: MERCHANDISE & EVENT SIGNS
SB21B,C00867937,SB21B.1029606,,,ORG,"ACE SPECIALTIES, LLC",,,,,,PO BOX 80427,,LAFAYETTE,LA,70598,,,2024-10-16,45007.83,,COLLATERAL: MERCHANDISE & EVENT SIGNS
SB21B,C00867937,SB21B.1029226,,,ORG,AERO CENTER ILM,,,,,,1830 FLIGHTLINE ROAD,,WILMINGTON,NC,28405,,,2024-10-15,20000.00,,EVENT EXPENSE: FACILITY RENTAL
SB21B,C00867937,SB21B.1028725,,,ORG,"AMERICAN COACH & LIMOUSINE, INC",,,,,,409 JOYCE KILMER AVENUE,#202,NEW BRUNSWICK,NJ,08901,,,2024-10-10,79500.00,,TRAVEL: GROUND TRANSPORTATION
SB21B,C00867937,SB21B.1028809,,,ORG,"AMERICAN COACH & LIMOUSINE, INC",,,,,,409 JOYCE KILMER AVENUE,#202,NEW BRUNSWICK,NJ,08901,,,2024-10-11,182900.00,,TRAVEL: GROUND TRANSPORTATION
SB21B,C00867937,SB21B.1028303,,,ORG,"AMERICAN COACH & LIMOUSINE, INC",,,,,,409 JOYCE KILMER AVENUE,#202,NEW BRUNSWICK,NJ,08901,,,2024-10-09,57255.00,,TRAVEL: GROUND TRANSPORTATION
SB21B,C00867937,SB21B.1024836,,,ORG,AMERICAN EXPRESS,,,,,,200 VESEY ST,,NEW YORK,NY,10285,,,2024-10-04,274656.11,,CREDIT CARD PAYMENT: SEE ITEMIZATIONS IF REQUIRED
SB21B,C00867937,SB21B.1024836.1,SB21B.1024836,SB21B,ORG,ABACUS INSURANCE,,,,,,2512 WILSHIRE BLVD,,SANTA MONICA,CA,90403,,,2024-09-23,3322.31,,INSURANCE,,,,,,,,,,,,,,,,,,,X
SB21B,C00867937,SB21B.1024836.2,SB21B.1024836,SB21B,ORG,AMAZON,,,,,,440 TERRY AVE. NORTH,,SEATTLE,WA,98109,,,2024-09-26,26.55,,EVENT STAGING EXPENSE,,,,,,,,,,,,,,,,,,,X
SB21B,C00867937,SB21B.1024836.4,SB21B.1024836,SB21B,ORG,BAYFRONT CONVENTION CENTER,,,,,,809 FRENCH ST,,ERIE,PA,16501,,,2024-09-26,22063.63,,EVENT EXPENSE: FACILITY RENTAL,,,,,,,,,,,,,,,,,,,X
SB21B,C00867937,SB21B.1024836.5,SB21B.1024836,SB21B,ORG,BRIGHT EVENT RENTALS,,,,,,1640 W 190TH ST,,TORRANCE,CA,90501,,,2024-09-23,363.62,,EVENT STAGING EXPENSE,,,,,,,,,,,,,,,,,,,X
SB21B,C00867937,SB21B.1024836.6,SB21B.1024836,SB21B,ORG,CAMBRIA HOTEL TRAVERSE CITY,,,,,,255 MUNSON AVE,,TRAVERSE CITY,MI,49686,,,2024-09-26,2212.23,,TRAVEL: LODGING,,,,,,,,,,,,,,,,,,,X
SB21B,C00867937,SB21B.1024836.7,SB21B.1024836,SB21B,ORG,CAMBRIA HOTEL TRAVERSE CITY,,,,,,255 MUNSON AVE,,TRAVERSE CITY,MI,49686,,,2024-09-26,2045.73,,TRAVEL: LODGING,,,,,,,,,,,,,,,,,,,X
SB21B,C00867937,SB21B.1024836.8,SB21B.1024836,SB21B,ORG,CAMBRIA HOTEL TRAVERSE CITY,,,,,,255 MUNSON AVE,,TRAVERSE CITY,MI,49686,,,2024-09-26,2212.23,,TRAVEL: LODGING,,,,,,,,,,,,,,,,,,,X
SB21B,C00867937,SB21B.1024836.9,SB21B.1024836,SB21B,ORG,CAMBRIA HOTEL TRAVERSE CITY,,,,,,255 MUNSON AVE,,TRAVERSE CITY,MI,49686,,,2024-09-26,441.78,,TRAVEL: LODGING,,,,,,,,,,,,,,,,,,,X
SB21B,C00867937,SB21B.1024836.10,SB21B.1024836,SB21B,ORG,CAMBRIA HOTEL TRAVERSE CITY,,,,,,255 MUNSON AVE,,TRAVERSE CITY,MI,49686,,,2024-09-26,2045.73,,TRAVEL: LODGING,,,,,,,,,,,,,,,,,,,X
SB21B,C00867937,SB21B.1024836.11,SB21B.1024836,SB21B,ORG,CAMBRIA HOTEL TRAVERSE CITY,,,,,,255 MUNSON AVE,,TRAVERSE CITY,MI,49686,,,2024-09-26,2045.73,,TRAVEL: LODGING,,,,,,,,,,,,,,,,,,,X
SB21B,C00867937,SB21B.1024836.12,SB21B.1024836,SB21B,ORG,CAMBRIA HOTEL TRAVERSE CITY,,,,,,255 MUNSON AVE,,TRAVERSE CITY,MI,49686,,,2024-09-26,2045.73,,TRAVEL: LODGING,,,,,,,,,,,,,,,,,,,X
SB21B,C00867937,SB21B.1024836.13,SB21B.1024836,SB21B,ORG,CAMBRIA HOTEL TRAVERSE CITY,,,,,,255 MUNSON AVE,,TRAVERSE CITY,MI,49686,,,2024-09-26,441.78,,TRAVEL: LODGING,,,,,,,,,,,,,,,,,,,X
