form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00391490,SB23.6764,,,ORG,business wire,,,,,,,,,,,G2024,,2024-10-22,6.00,,Press release,,,,S4IN00196,BANKS,JAMES E. HON.,,,,S,IN,00,,,,,,,,
SB23,C00391490,SB23.6766,,,ORG,business wire,,,,,,,,,,,G2024,,2024-10-22,6.00,,Press release,,,,S6WY00068,BARRASSO,JOHN A,,,,S,WY,00,,,,,,,,
SB23,C00391490,SB23.6768,,,ORG,business wire,,,,,,,,,,,G2024,,2024-10-22,6.00,,Press release,,,,S8TN00337,BLACKBURN,MARSHA MRS.,,,,S,TN,00,,,,,,,,
SB23,C00391490,SB23.6770,,,ORG,business wire,,,,,,,,,,,G2024,,2024-10-22,6.00,,Press release,,,,S8ND00120,CRAMER,KEVIN MR.,,,,S,ND,00,,,,,,,,
SB23,C00391490,SB23.6772,,,ORG,business wire,,,,,,,,,,,G2024,,2024-10-22,6.00,,Press release,,,,S2TX00312,CRUZ,RAFAEL EDWARD  TED,,,,S,TX,00,,,,,,,,
SB23,C00391490,SB23.6774,,,ORG,business wire,,,,,,,,,,,G2024,,2024-10-22,6.02,,Press release,,,,S2NE00094,FISCHER,DEBRA S.,,,,S,NE,00,,,,,,,,
SB23,C00391490,SB23.6776,,,ORG,business wire,,,,,,,,,,,G2024,,2024-10-22,6.02,,Press release,,,,S8MO00160,HAWLEY,JOSHUA DAVID SEN,,,,S,MO,00,,,,,,,,
SB23,C00391490,SB23.6778,,,ORG,business wire,,,,,,,,,,,G2024,,2024-10-22,6.04,,Press release,,,,S8FL00273,SCOTT,RICK SEN,,,,S,FL,00,,,,,,,,
SB23,C00391490,SB23.6780,,,ORG,business wire,,,,,,,,,,,G2024,,2024-10-22,6.04,,Press release,,,,H8AL02171,MOORE,FELIX BARRY,,,,H,AL,01,,,,,,,,
SB23,C00391490,SB23.6782,,,ORG,business wire,,,,,,,,,,,G2024,,2024-10-22,6.04,,Press release,,,,H4AL06098,PALMER,GARY,,,,H,AL,06,,,,,,,,
SB23,C00391490,SB23.6784,,,ORG,business wire,,,,,,,,,,,G2024,,2024-10-22,6.04,,Press release,,,,H6AZ05083,BIGGS,ANDY,,,,H,AZ,05,,,,,,,,
SB23,C00391490,SB23.6786,,,ORG,business wire,,,,,,,,,,,G2024,,2024-10-22,6.04,,Press release,,,,H2AZ01354,CRANE,ELI,,,,H,AZ,02,,,,,,,,
SB23,C00391490,SB23.6788,,,ORG,business wire,,,,,,,,,,,G2024,,2024-10-22,6.04,,Press release,,,,H0AZ01259,GOSAR,PAUL DR.,,,,H,AZ,04,,,,,,,,
SB23,C00391490,SB23.6790,,,ORG,business wire,,,,,,,,,,,G2024,,2024-10-22,6.04,,Press release,,,,H4AZ06045,SCHWEIKERT,DAVID,,,,H,AZ,06,,,,,,,,
SB23,C00391490,SB23.6791,,,ORG,business wire,,,,,,,,,,,G2024,,2024-10-22,6.04,,Press release,,,,H4AR02141,HILL,JAMES FRENCH,,,,H,AR,02,,,,,,,,
SB23,C00391490,SB23.6792,,,ORG,business wire,,,,,,,,,,,G2024,,2024-10-22,6.04,,Press release,,,,H4AR04048,WESTERMAN,BRUCE,,,,H,AR,04,,,,,,,,
SB23,C00391490,SB23.6794,,,ORG,business wire,,,,,,,,,,,G2024,,2024-10-22,6.04,,Press release,,,,H0CA48024,ISSA,DARRELL,,,,H,CA,48,,,,,,,,
SB23,C00391490,SB23.6796,,,ORG,business wire,,,,,,,,,,,G2024,,2024-10-22,6.04,,Press release,,,,H2CA02142,LAMALFA,DOUG,,,,H,CA,01,,,,,,,,
SB23,C00391490,SB23.6798,,,ORG,business wire,,,,,,,,,,,G2024,,2024-10-22,6.04,,Press release,,,,H8CA04152,MCCLINTOCK,THOMAS,,,,H,CA,05,,,,,,,,
SB23,C00391490,SB23.6800,,,ORG,business wire,,,,,,,,,,,G2024,,2024-10-22,6.04,,Press release,,,,H0CO03165,BOEBERT,LAUREN,,,,H,CO,04,,,,,,,,
SB23,C00391490,SB23.6802,,,ORG,business wire,,,,,,,,,,,G2024,,2024-10-22,6.04,,Press release,,,,H2FL04211,BEAN,AARON P.,,,,H,FL,04,,,,,,,,
SB23,C00391490,SB23.6804,,,ORG,business wire,,,,,,,,,,,G2024,,2024-10-22,6.04,,Press release,,,,H6FL09070,BILIRAKIS,GUS M,,,,H,FL,12,,,,,,,,
SB23,C00391490,SB23.6806,,,ORG,business wire,,,,,,,,,,,G2024,,2024-10-22,6.04,,Press release,,,,H0FL03175,CAMMACK,KAT,,,,H,FL,03,,,,,,,,
SB23,C00391490,SB23.6808,,,ORG,business wire,,,,,,,,,,,G2024,,2024-10-22,6.04,,Press release,,,,H2FL14186,DONALDS,BYRON,,,,H,FL,19,,,,,,,,
SB23,C00391490,SB23.6810,,,ORG,business wire,,,,,,,,,,,G2024,,2024-10-22,6.04,,Press release,,,,H6FL02208,DUNN,NEAL ,,,,H,FL,02,,,,,,,,
SB23,C00391490,SB23.6812,,,ORG,business wire,,,,,,,,,,,G2024,,2024-10-22,6.04,,Press release,,,,H0FL15104,FRANKLIN,SCOTT MR.,,,,H,FL,18,,,,,,,,
SB23,C00391490,SB23.6814,,,ORG,business wire,,,,,,,,,,,G2024,,2024-10-22,6.04,,Press release,,,,H8FL17053,STEUBE,GREG,,,,H,FL,17,,,,,,,,
SB23,C00391490,SB23.6816,,,ORG,business wire,,,,,,,,,,,G2024,,2024-10-22,6.04,,Press release,,,,H8FL06148,WALTZ,MICHAEL,,,,H,FL,06,,,,,,,,
SB23,C00391490,SB23.6818,,,ORG,business wire,,,,,,,,,,,G2024,,2024-10-22,6.04,,Press release,,,,H0FL08208,WEBSTER,DANIEL,,,,H,FL,11,,,,,,,,
SB23,C00391490,SB23.6820,,,ORG,business wire,,,,,,,,,,,G2024,,2024-10-22,6.04,,Press release,,,,H0GA02241,ALLEN,RICK,,,,H,GA,02,,,,,,,,
SB23,C00391490,SB23.6822,,,ORG,business wire,,,,,,,,,,,G2024,,2024-10-22,6.04,,Press release,,,,H4GA01039,CARTER,EARL LEROY,,,,H,GA,01,,,,,,,,
SB23,C00391490,SB23.6824,,,ORG,business wire,,,,,,,,,,,G2024,,2024-10-22,6.04,,Press release,,,,H2GA03070,COLLINS,MICHAEL ALLEN,,,,H,GA,08,,,,,,,,
SB23,C00391490,SB23.6826,,,ORG,business wire,,,,,,,,,,,G2024,,2024-10-22,6.04,,Press release,,,,H0GA09246,CLYDE,ANDREW,,,,H,GA,09,,,,,,,,
