form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00320432,D7-008i24,,,ORG,AT&T,,,,,,5301 Wisconsin Ave NW,,Washington,DC,20016,,,2023-07-18,70.85,0.00,Phone,,,,,,,,,,,,,,,,,,,,,         
SB21B,C00320432,D8-008i24,,,ORG,AT&T,,,,,,5301 Wisconsin Ave NW,,Washington,DC,20016,,,2023-09-01,60.48,0.00,Phone,,,,,,,,,,,,,,,,,,,,,         
SB21B,C00320432,D9-008i24,,,ORG,AT&T,,,,,,5301 Wisconsin Ave NW,,Washington,DC,20016,,,2023-09-20,64.15,0.00,Phone,,,,,,,,,,,,,,,,,,,,,         
SB21B,C00320432,D10-008i24,,,ORG,AT&T,,,,,,5301 Wisconsin Ave NW,,Washington,DC,20016,,,2023-12-16,95.49,0.00,Phone,,,,,,,,,,,,,,,,,,,,,         
SB21B,C00320432,D11-008i24,,,ORG,AT&T,,,,,,5301 Wisconsin Ave NW,,Washington,DC,20016,,,2023-12-21,95.49,0.00,Phone,,,,,,,,,,,,,,,,,,,,,         
SB21B,C00320432,D16-00FJ08,,,ORG,Amazon,,,,,,81226 Seattle,,Seattle,WA,98108,,,2023-08-07,102.75,0.00,Office supplies,,,,,,,,,,,,,,,,,,,,,         
SB21B,C00320432,D17-00FJ08,,,ORG,Amazon,,,,,,81226 Seattle,,Seattle,WA,98108,,,2023-07-15,71.78,0.00,Office supplies,,,,,,,,,,,,,,,,,,,,,         
SB21B,C00320432,D18-00FJ08,,,ORG,Amazon,,,,,,81226 Seattle,,Seattle,WA,98108,,,2023-10-03,82.04,0.00,Office supplies,,,,,,,,,,,,,,,,,,,,,         
SB21B,C00320432,D29-00Ht01,,,ORG,Busy Beaver Button Company,,,,,,3407 W. Armitage Ave,,Chicago,IL,60647,,,2023-08-18,333.00,0.00,Campaign Buttons,,,,,,,,,,,,,,,,,,,,,         
SB21B,C00320432,D32-00HP01,,,ORG,Conrad Hotel,,,,,,St. Stepehens Green,"Dublin, Ireland",,,,,,2023-11-11,220.86,0.00,Accommodation,,,,,,,,,,,,,,,,,,,,,         
